No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,MSFT,Microsoft Corporation,Technology,Business Software & Services,USA,1054825.48,30.65,137.46,0.64%,13629296
2,AMZN,"Amazon.com, Inc.",Services,Catalog & Mail Order Houses,USA,959998.9,81.97,1939,0.24%,1690294
3,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,949155.37,17.52,204.41,0.83%,11362045
4,GOOGL,Alphabet Inc.,Technology,Internet Information Providers,USA,774964.16,28.16,1122.99,0.93%,1007718
5,GOOG,Alphabet Inc.,Technology,Internet Information Providers,USA,763700.62,28.14,1121.58,0.93%,767011
6,FB,"Facebook, Inc.",Technology,Internet Information Providers,USA,552696.38,29.29,197.2,1.13%,10246119
7,BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,530793.27,0.01,215.16,0.29%,2489136
8,BRK-A,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,526327,11.27,322900,0.43%,156
9,V,Visa Inc.,Financial,Credit Services,USA,381361.78,38.21,176.87,0.91%,4066632
10,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,USA,381209.53,26.32,142.14,1.51%,3436339
11,JPM,JPMorgan Chase & Co.,Financial,Money Center Banks,USA,372080.36,12.18,112.82,-0.86%,6849443
12,XOM,Exxon Mobil Corporation,Basic Materials,Major Integrated Oil & Gas,USA,326398.81,17.62,76.44,0.95%,5246096
13,WMT,Walmart Inc.,Services,"Discount, Variety Stores",USA,319511.09,36.47,112.32,0.65%,3207310
14,PG,The Procter & Gamble Company,Consumer Goods,Personal Products,USA,286489.11,27.38,114.08,2.33%,6223327
15,BAC,Bank of America Corporation,Financial,Money Center Banks,USA,282537.39,10.79,29.05,-0.34%,26642292
16,MA,Mastercard Incorporated,Financial,Credit Services,USA,272197.94,46.17,273.08,0.93%,1896816
17,DIS,The Walt Disney Company,Services,Entertainment - Diversified,USA,256694.85,16.08,142.98,0.32%,4150852
18,T,AT&T Inc.,Technology,Telecom Services - Domestic,USA,248495.74,13.2,33.98,0.41%,20136492
19,PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - Major,USA,247487.83,24.58,44.4,0.41%,9770042
20,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,246193.49,20.63,56.48,1.20%,13866804
21,VZ,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,240913.4,15.03,58.13,0.00%,8437771
22,UNH,UnitedHealth Group Incorporated,Healthcare,Health Care Plans,USA,235259.38,19.04,245.21,0.51%,2559448
23,HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,233522.11,21.53,212.1,0.93%,2183742
24,CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,232438.27,17.08,123.35,0.34%,2725825
25,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - Major,USA,223683.21,26.25,86.9,1.63%,6234048
26,KO,The Coca-Cola Company,Consumer Goods,Beverages - Soft Drinks,USA,222962.99,32.73,52.1,0.23%,7253702
27,INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,217951.84,11.12,48.52,0.83%,10739100
28,WFC,Wells Fargo & Company,Financial,Money Center Banks,USA,216924.49,10.45,47.66,0.91%,10438423
29,BA,The Boeing Company,Industrial Goods,Aerospace/Defense Products & Services,USA,199442.55,20.28,354.47,0.09%,2164921
30,ORCL,Oracle Corporation,Technology,Application Software,USA,195657.12,20.28,58.86,0.68%,9989106
31,CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,195318.18,16.23,43.32,1.00%,8404265
32,PEP,"PepsiCo, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,188632.47,15.2,133.99,1.18%,2859168
33,IVV,iShares Core S&P 500 ETF,Financial,Exchange Traded Fund,USA,185831.86,,300.48,0.75%,1853807
34,NFLX,"Netflix, Inc.",Services,CATV Systems,USA,168120.94,139.47,381.72,1.68%,3799009
35,C,Citigroup Inc.,Financial,Money Center Banks,USA,165817.34,10.3,70.85,0.58%,7632411
36,MCD,McDonald's Corporation,Services,Restaurants,USA,162105.89,27.87,212.81,1.54%,2306040
37,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,150347.87,57.63,85.64,0.81%,2437460
38,ADBE,Adobe Inc.,Technology,Application Software,USA,148447.93,56.41,305.7,1.43%,1585273
39,PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,137311.38,63.07,117.68,1.30%,3288929
40,NKE,"NIKE, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,135016.78,34.25,86.2,1.46%,4012837
41,MDT,Medtronic plc,Healthcare,Medical Appliances & Equipment,USA,132642.54,29.04,98.81,0.78%,2325952
42,HON,Honeywell International Inc.,Industrial Goods,Diversified Machinery,USA,130178.48,15.67,178.4,1.01%,1239991
43,IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,126059.76,12.01,141.54,0.94%,1930361
44,PM,Philip Morris International Inc.,Consumer Goods,Cigarettes,USA,125379.65,16.24,80.63,1.10%,3860896
45,UNP,Union Pacific Corporation,Services,Railroads,USA,123146.24,21.01,171.8,0.33%,1172288
46,TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical Laboratories & Research,USA,122202.54,38.67,305.43,1.43%,882958
47,CRM,"salesforce.com, inc.",Technology,Application Software,USA,119910.1,101.63,155.59,0.95%,3885430
48,COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",USA,118957.2,34.66,269.14,1.38%,986472
49,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - Major,USA,114860.31,15.05,188.58,1.04%,1932606
50,UTX,United Technologies Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,113601.95,18.16,133,0.79%,2037573
51,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major,USA,111764.31,42.21,114.42,0.19%,3707683
52,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,110940.8,21.2,74.96,0.98%,7434087
